,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
600,600,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Saskatchewan,Requires Expert Information,Referral (Internal),488528,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
601,601,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Expert Information,Completed,486321,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
602,602,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),487020,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
603,603,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),487477,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
604,604,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),487545,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
605,605,,Consultant,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Small Business Internship Program ,Ontario,Requires Expert Information,Referral (Internal),487625,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
606,606,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,487732,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
607,607,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Newfoundland and Labrador,Requires Information on a Procedure,Completed,488103,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
608,608,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,WES Ecosystem Fund,"Small Business, Tourism and Marketplace Services",Nova Scotia,Requires Information on a Procedure,Completed,488077,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
609,609,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Nova Scotia,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + Internal,486227,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
610,610,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,Requires Expert Information,Referral (Internal),486240,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
611,611,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,"Other
Requires Expert Information",Completed,486409,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
612,612,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486482,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
613,613,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Manitoba,"Requires Information on a Procedure
Requires Expert Information",Completed,486654,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
614,614,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486645,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
615,615,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Saskatchewan,Requires Expert Information,Referral (Internal),486667,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
616,616,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486605,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
617,617,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486642,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
618,618,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Expert Information,Completed,486674,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
619,619,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Saskatchewan,"Requires Expert Information
Requires Navigational Aid",Referral (Internal),486813,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
620,620,,Health Institution,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,"Requires Expert Information
Requires Navigational Aid",Referral (Internal),486996,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
621,621,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Requires Expert Information,Referral (Internal),487001,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
622,622,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),486993,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
623,623,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Expert Information,Referral (Internal),487019,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
624,624,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",New Brunswick,Requires Information on a Procedure,Completed,487167,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
625,625,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Requires Contact Information,Referral (Internal),487191,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
626,626,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),487416,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
627,627,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),487419,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
628,628,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Expert Information,Referral (Internal),487417,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
629,629,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,487551,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
630,630,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Small Business Internship Program ,Alberta,Requires Expert Information,Referral (Internal),487632,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
631,631,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Information on a Procedure,Completed,487856,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
